Speaker	Statement	Rating
Bill O'Reilly	The right-to-work states have much lower level of unemployment than the union states do	1
Bill O'Reilly	In 2012, 123 African-Americans were shot dead by police. ... Same year, 326 whites were killed by police	3
Bill O'Reilly	More than 50 percent of immigrants from (El Salvador, Guatemala and Honduras) use at least one major welfare program once they get here	1
Bill O'Reilly	I never said I was on the Falkland Islands	2
Bill O'Reilly	We researched to find out if anybody on Fox News had ever said you're going to jail if you don't buy health insurance. Nobody's ever said it	5
Bill O'Reilly	A Democratic poll operation shows that Fox News is the most trusted news operation in the country	0
Wisconsin Anti-Violence Effort Educational Fund	People are five to seven times more likely to be murdered in workplaces that allow firearms than in those that prohibit it	2
Evan Feinberg	Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info	4
Jack Kingston	Connecticut has the fifth toughest gun control laws in the country, including an assault weapons ban that bans 35 different weapons	0
Jack Kingston	There are still more people uninsured today than when Obama was elected president	2
Jack Kingston	Perdue mismanaged Pillowtex, and nearly 8,000 people got laid off	3
Jack Kingston	In the past four years, (the U.S. Senate) has only passed nine out of 48 appropriation bills	1
Preston Smith	We have my opponent Sam Olens to thank for [the Arizona immigration ruling] since he was on the team that got Clinton elected	5
Back to Basics	Perry pushed for a law that lets insurance companies raise homeowners rates without having to justify the increase	4
Back to Basics	the Texas unemployment rate has even grown more than the nation's as a whole	1
John Scocos	There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate	0
Kent Conrad	We're borrowing 40 cents of every dollar we spend	0
Kent Conrad	The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That's 84 percent of the federal budget	1
Donna Edwards	74 percent of Republicans support the Affordable Care Act	4
Gary Johnson	We have the highest corporate income tax in the world right now	1
Gary Johnson	We're bankrupt	4
Gary Johnson	It costs more money to put a person on death row than it does to lock them up for the rest of their lives because of attorney fees	2
Gary Johnson	I am going to be on the ballot in all 50 states. There is no other third-party candidate thats going to come close to achieving that	1
Gary Johnson	Fifty percent of the graduating class of the year 2012 will have smoked marijuana or have done illegal drugs	1
Lee Leffingwell	Austin has the lowest property tax rate by far of the five major cities in Texas	2
Lee Leffingwell	Invested $90 million in traffic fixes without raising taxes	2
Virginia Foxx	The economy began its nose dive when Democrats took control of Congress in January 2007	5
Virginia Foxx	There are 3.6 million jobs sitting vacant, in part because there arent enough qualified applicants to fill them	1
Caddy McKeown	A baby in Coos County is two times as likely to be born to a mother who is someone who used tobacco during her pregnancy as is the average baby born in Oregon or the U.S	0
Dan Ramos	Gov. Kasich and the Republican-dominated legislature have foregone the popular option of closing tax loopholes that amount to $7 billion annually in this state	1
Jalen Ross	Every day, a black name resume is 50 percent less likely to get responded to than a white nameresume	1
Courtney Combs	Phoenix, Ariz., is the No. 2 kidnapping capital of the world	5
Matt Patten	Unfortunately everyone needs to cut back in these tough economic times. That's why I voted to cut my own pay along with the pay of our state employees	4
Americans for Job Security	Jane Norton supported the largest tax hike in Colorado history	2
William G. Batchelder	I am now the No. 2 member of this House in terms of length of service	0
William G. Batchelder	75 percent of the jobs created in the state of Ohio are created in small business. They are not created by huge corporations and those who are very wealthy	1
William G. Batchelder	We havent had control of the House for the last two years and its been malfunctioning. We had 109 sessions scheduled and held 49	0
William G. Batchelder	We have more hospitals that are childrens hospitals than any other state in the union	4
Jennifer Granholm	I cut more as a percentage out of government than any state in the country this past decade. And where is Michigan in terms of its economic growth? Cutting did not result in economic growth	1
Mitch McConnell	The presidents own advisers have said theres a war on coal	3
Mitch McConnell	The president has had 1,540 of his nominations confirmed, only four defeated	2
Mitch McConnell	The minimum wage is mostly an entry-level wage for young people	1
Mitch McConnell	In just one month, the Democrats have spent more than President Bush spent in seven years on the war in Iraq, the war in Afghanistan and Hurricane Katrina combined	4
Mitch McConnell	$100,000 in  stimulus funds (were) used for a Martini Bar and Brazilian Steakhouse	1
Mitch McConnell	More women are graduating from college now than men	0
Vincent Fort	If [Atlanta Mayor Kasim Reed] wants to be like Bull Connor, then so be it	5
Vincent Fort	What concerns me is there is only two sentences that have been written about minority business	2
Debbie Riddle	Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally	4
Xi Jinping 	China has made enormous progress in its human rights. That is a fact recognized by all the people in the world	3
Jim Huffman	Twice as much (federal) money is going back to Hawaii, Virginia and Alaska than is coming home to Oregon	1
Michael Schrunk	under our current sentencing laws, about 75 percent of all convicted felons in Oregon do not go to prison	1
Bryant Gumbel	A golf course closes somewhere in America every 48 hours	2
Arianna Huffington	Most countries have no debt ceiling	1
Charles Odimgbe	We are one of the most expensive [bus] rides in New England	1
Rob Portman	Last year, we produced 14 percent less oil on public lands than we did the year before	1
Rob Portman	Under Lee Fisher Ohio has lost nearly 400,000 jobs	2
Rob Portman	Thirty-four of the last 44 (debt ceiling increases) have been for less than a year. So, this notion that short-term is somehow the exception, it's actually the rule	0
Rob Portman	We rank below Ethiopia, I'm told, in terms of our exports per capita, well below any of the other developed countries we trade with, and well below China and (South) Korea	2
Rob Portman	We have the second highest corporate tax rate among our trading partners	1
Rob Portman	More than half of our unemployed Ohioans have been out of work for six months or more	1
Rob Portman	The Social Security disability fund is going belly up in 2016	0
Rob Portman	The average family (is) now bringing home $4,000 less than they did just five years ago	0
Rob Portman	Under Lt. Gov. Lee Fisher, Ohio is 44th in the country in terms of getting money actually into worker retraining	4
Rob Portman	About 2 percent of Americans get paid the minimum wage	1
Rob Portman	There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this	0
Rob Portman	Our debt now is about $140,000 per household	1
Rob Portman	A couple retiring today will pay about $119,000 in lifetime Medicare taxes and receive about $357,000 in lifetime Medicare benefits. ... about 3 bucks in benefits for every dollar in taxes	0
Rob Portman	We've got 7.2 percent unemployment (in Ohio), but when you include the folks who have stopped looking for work, it's actually over 10 percent	2
Rob Portman	The Democrat-led Senate has failed to pass a budget for 750 days ... Senate Democrats have neglected one of their most basic responsibilities	2
Rob Portman	In the month of July alone, EU exports to South Korea increased by over 36 percent. A lot of that is our market share. Those are our farmers and our service providers who are suffering	2
Rob Portman	$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times	0
Rob Portman	I was filibustered	1
Hans von Spakovsky	134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years	2
Liberals Are Cool	Q: What do these Patriotic' Americans have in common? A: They are all Draft Dodgers	5
Ronald Renuart	Almost 37 percent of the total income from Planned Parenthood is from abortions	4
Ray Lewis	Do this research  watch how much crime picks up if you take away [football	4
Rush Holt	Every single month since 1985 has been warmer than the historic average. All 12 of the warmest years on record have come in the last 15 years	0
Rush Holt	A clear majority of Americans support removing the cost-sharing requirement for prescription contraceptive coverage	1
Rush Holt	Before this day is out, 18 more veterans will have taken their own lives. That is the daily average, it is intolerable, and it has to stop	0
Rush Holt	We need to pass a carbon tax to stop climate change. Break up the Wall Street banks. And stop the government spying on innocent Americans. Cory Booker doesnt support any of these ideas	2
Rush Holt	As we watch the news from Colorado with horror and sympathy for the families, we should remember that each day more than 80 Americans are killed by gunfire, unnecessary tragedies	2
Rush Holt	as a share of the US economy, the governments support for research and development (R&D) has fallen by nearly two-thirds since the 1960s	0
Suzanne Bonamici	My opponent on day one of this campaign attacked me on Medicare and Medicare Advantage and that claim was found to be False	0
Suzanne Bonamici	one in four women and one in seven men have been victims of domestic violence in their lifetime	0
Suzanne Bonamici	I also voted 98 percent of the time with Republicans in the Oregon Legislature	4
Environment New Jersey	Hurricane Sandy, the most destructive Atlantic storm ever	3
Ron Ramsey	(Environmentalists) said Were only going to stop coal mining above 2,000 feet. ... Well guess where all the coal in the state of Tennessee is? Above 2,000 feet	4
Ron Ramsey	This years redistricting has been the most open, interactive and transparent redistricting process in Tennessee history	4
Betty Sutton	Ganley said that if elected, he wants to cut the dickens out of Social Security, Medicare and Veterans benefits	5
Betty Sutton	Lake Erie supports nearly 10 percent of Ohio's jobs and generates $750 million in state and local taxes	1
Betty Sutton	Every day in the United States, we are losing 15 factories	0
Betty Sutton	Jim Renacci tried to avoid paying taxes on nearly $14 million that he made	0
Mark Critz	The Democratic Congress has already taken significant steps to create jobs and jump-start the economy, resulting in the lowest tax rates in over 50 years and the creation of over 500,000 new jobs so far this year	2
Jim Keffer	The costs of cancer and all affiliated issues are over $20 billion a year to this state	0
Causa Oregon	American voters remain steadfast in their support for immigration reform with a path to citizenship, with more than 70 percent who want to see reform passed this year	2
Greg Walden	The incoming Republican freshman class  well, its no ordinary group: nearly half of its roughly 80 members have never served in elective office before	3
Greg Walden	Did you know that the #KeystoneXL project is expected to create 20,000 American jobs, including more than 800 in Oregon	3
Greg Walden	we allow more people into America legally than all other countries on the planet combined	3
Stephen Wise	Every person on death row was a foster kid	4
Jean Schmidt	For every 33 pregnant women that walk into a Planned Parenthood clinic, 32 receive an abortion	4
Jim Kyle	All legislative mail, from the content to the timing, is approved by the speaker's office	4
Mike Males	Theres pretty much no question that [the curfew ordinances] arent effective in either reducing crime or preventing harm to young people	1
Ellen Rosenblum	nearly 29,000 Oregonians  almost 5 percent of all homeowners  are 90 days or more delinquent on their mortgage	0
Joseph Yost	One third of our age group (Millennials) have moved back in with their parents	1
Defenders of Wildlife Action Fund	Palin (proposed) a $150 bounty for the severed foreleg of each killed wolf	0
Jeanne Shaheen	Ninety six percent of employers in the Granite State are considered small businesses	0
Jeanne Shaheen	We spend in tax loopholes annually $1.1 trillion. That's more than we spend on our defense budget in a year, on Medicare or Medicaid in a year	3
Jeanne Shaheen	In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses	1
Jeanne Shaheen	For every dollar we put in unemployment, it pays back about $1.60	2
Jeanne Shaheen	Big Oil gave Scott Brown $454,260	2
Daily Caller	Jeanne Shaheen was principally involved in a plot with Lois Lerner and President Barack Obamas political appointee at the IRS to lead a program of harassment against conservative nonprofit groups during the 2012 election	4
Kendrick Meek	Warren Buffett called credit default swaps financial weapons of mass destruction. And Greene was the first individual to use them	0
Kendrick Meek	Marco Rubio thinks that government shouldn't be in the health care business at all	4
Kendrick Meek	The first time he ever voted as a Democrat was here in Florida in 2008. He only voted four times in his life, and he's asking Floridians to come out and vote for him	1
Kendrick Meek	The governor switched his position once again on offshore oil drilling	2
Kendrick Meek	When I become the nominee, the Democratic  nominee, I will be the only pro-choice candidate on the ballot	1
Kendrick Meek	The Taliban has been there for years and years, I mean, hundreds of thousands of years	5
Kendrick Meek	Theres a mosque inside of the Pentagon	4
Kendrick Meek	A number of the national publications have put this race in a tossup race between Democrats and Republicans. They don't know who's going to win this race	3
Kendrick Meek	Jeff Greene only moved from California to Florida in the last two years. In fact, he would not legally be allowed to run for any other statewide office because he has not lived here long enough to meet the residency requirement	0
Kendrick Meek	Im the only one who's fought against developers draining the Everglades	4
Kendrick Meek	Kendrick Meek is the only candidate who has consistently been against expanded drilling	1
Kathleen Sullivan	The proportion of Rhode Islanders entering substance abuse treatment primarily due to marijuana use has reached its highest point in 20 years	4
Eddie Lucio, Jr.	A miscarriage is considered an abortion	2
Joe Morrissey	Rosalyn Dance voted against President Obamas Medicaid expansion	3
Bill Posey	The president promised to close the space gap, but he now seems intent on repeating the events that created the space gap in the first place -- putting in place a new rocket design and then trying to underfund the effort	1
Bill Posey	Before this law was passed, Americans were told they could keep their current health care plans. After it became law, the administration issued regulations stating nearly half of Americans would lose their current plan	2
Bill Bradbury	If Buehler were elected, our vote-by-mail system would be at risk	5
Russ  Feingold	The United States still ranks 20th in the world in access to broadband -- over 50 percent below the best nations	2
Russ  Feingold	According to independent analysis, unfair trade deals have resulted in the loss of over 64,000 jobs in Wisconsin ... But Ron Johnson favors those deals	2
Russ  Feingold	I've been outspent by my opponents every time I've run for U.S. Senate	5
Matt  McGrath	Gov. Deal has the worst record on education in the history of this state	5
Texas State Employees Union	Most state employees did not receive any pay raise from 2009 to 2012	0
Shaun  Donovan	It costs about $40,000 a year for a homeless person to be on the streets	1
Elizabeth Roberts	Theyve seen employer-supported coverage increase in Massachusetts after this law (Romneycare) was implemented	0
Elizabeth Roberts	Massachusetts is reporting a trend far below the national trend in the escalation of health-care costs in this year	3
Elizabeth Roberts	Two thirds to three quarters of people without [health] insurance in Rhode Island work	2
Elizabeth Roberts	More than 30 cents of every state tax dollar goes to Medicaid	0
Rod Smith	Rick Scott has destroyed over 100,000 jobs	4
Rod Smith	Today 46 percent of all Floridians owe more on their home than it is worth	1
The Freedom Project	Democrats rang up a $1.42 trillion budget deficit in 2009  the single largest in American history	2
David Mellon	The job [of correctional officer] lowers your life expectancy . . . Metropolitan did a study in, I believe it was 1998, and the life expectancy was 58	4
Sally Kohn	Hobby Lobby provided this (birth control) coverage before they decided to drop it to file suit	1
Sally Kohn	White men account for 69 percent of those arrested for violent crimes	4
Sally Kohn	Since 9/11, right-wing extremists (incl anti-abortion, anti-gov) have killed more Americans than Islamic extremists	2
Donna Nesselbush	In an average grocery store, roughly 75 percent of processed foods contain genetically modified organisms, or GMOs	2
Conservative Renewal PAC	Tom Leppert pledged to make Dallas a sanctuary city for illegal immigrants	3
Thomas Brown	Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget	1
Bill Nelson	My state of Florida is now the third-largest state. We have surpassed New York in population	3
Bill Nelson	Gov. Rick Scott signed into law a bill that gives Florida's public officials an easy way to avoid disclosing their personal finances	2
Bill Nelson	Many state and federal agencies have such navigators involved in helping folks maneuver through the often complex processes associated with filing benefits claims, for example -- even buying health insurance	0
Bill Nelson	The entire state of Florida led the nation last year with the most prison inmates committing tax fraud	0
Bill Nelson	The truth is any oil that would be drilled could be sent to any other country in the world, reducing our use of foreign oil not by one single drop	2
Bill Nelson	In the 2000 Florida election, at least 1,100 eligible voters were wrongly dropped from voting rolls in an attempt to purge a list of felons. Many of those who were dropped showed up to vote and were told they could not	0
Bill Nelson	55 percent of the people who cast a provisional ballot (in Florida) in the last presidential election -- their vote did not count	1
Bill Nelson	The amount of the revenue required by the state (for the construction of high-speed rail) is around 10 percent	1
North Korean foreign ministry	The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests	0
Oregon Food Bank	Oregon, once again, remains among the top five hungriest states in the nation	2
Keith Stokes	One of the things we found very clearly and consistently is that [video gaming] is a growth industry	3
Alberto  Carvalho	Today we stand as the highest-performing urban school district in America	2
Michael Sullivan	From the Do As I Say Not As I Do department: federal employees owe $3.3 billion in back taxes	1
Michael Sullivan	If you printed a $1 bill for the entirety of the $14.1 trillion national debt, the resulting pile of money would weigh more than 136 aircraft carriers	0
Harris Faulkner	President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally	2
Gayle Atteberry	Abortion clinics in Oregon, as in most states, have no state oversight and are not held to basic health or safety standards	3
Sheila Jackson Lee	We did not seek an impeachment of President Bush	3
Sheila Jackson Lee	Today, we have two Vietnams, side by side, North and South, exchanging and working	4
Paula Dockery	We have constitutional amendment that says that there's a ban on drilling right off Florida's coast	4
Paula Dockery	Teachers will not be able to return to work after raising their children	3
Allan Ritter	In my 12 years in the House, I have watched my district go from a solidly Democratic district to a heavily solid Republican district	2
Coast Guard	Every year the First Coast Guard District saves 350 lives in the Northeast	1
Kay Bailey Hutchison	If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space	0
Kay Bailey Hutchison	We have over 300 state agencies. Forty-five of those agencies are related to health care	4
Kay Bailey Hutchison	Taxpayers even footed the bill for Perrys trip to a bachelor party in Las Vegas	3
Kay Bailey Hutchison	We definitely lost way more jobs in Texas this year than we gained  we lost 300,000 jobs in Texas alone this year	0
Kay Bailey Hutchison	The only growth sector that weve had in the last two years in America is government growth	4
Kay Bailey Hutchison	The State of Texas does not even use the E-Verify system to determine if someone is legally in our country when they apply for a job	0
Loretta  Weinberg	(New Jersey Network) is the only news station which covers New Jersey government	4
Loretta  Weinberg	(Chris Christie) has not paid one dollar of state money into our pension system, and then states that the system is broke	1
Loretta  Weinberg	We pay among the highest tolls in the nation for the privilege of crossing that bridge	0
Ralph Mollis	The per-pupil cost in the [Blackstone Valley Prep] Mayoral Academy far outweighs the per-pupil cost in Cumberland public schools	3
James Buchal	The government -- not the armed forces -- is stockpiling hundreds of millions of rounds of ammunition for domestic use	4
Joe Gibbons	Polls show that Floridians don't want to repeal the Affordable Care Act	3
David Pepper	Many states without collective bargaining, such as Arizona, Nevada and North Carolina, have far larger budget deficits than many that do, including Ohio	1
Pete Snyder	A study by the University of Virginia pulls back the curtain on Medicaids tragically bad outcomes, including increased risk of adjusted mortality	2
Ed Turanchik	No one in the private sector gets unlimited accruals of vacation and sick leave	2
Texans for America's Future PAC	Thanks to (Rick) Perry's bad budgeting, the (Texas) highway department has to convert some modern paved state roads back to gravel	3
Facebook posts	In April 1997, there was a gas out conducted nationwide in protest of gas prices. Gasoline prices dropped 30 cents a gallon overnight	5
Facebook posts	The U.S. Constitution owes its notion of democracy to the Iroquois Tribes	3
Facebook posts	More than 43 percent of all food stamps are given to illegals	5
Facebook posts	Fox News uses photo of a married couple promoting traditional marriage and the photo is actually of a same-sex couple	0
Facebook posts	Harvard Study Finds States With Most Gun Laws Have Fewest Gun Deaths	2
Facebook posts	Newly Elected Republican Senators Sign Pledge to Eliminate Food Stamp Program in 2015	5
Facebook posts	In 1993 the Republicans embraced a health platform that proudly features an individual mandate as its main component	2
Facebook posts	Vagina. Because apparently, saying that word in the Michigan State House of Representatives can get you a two-day ban from speaking on the floor	1
Facebook posts	Nearly 100,000 people get shot every year. That's 270 people a day and 87 dead	1
Facebook posts	When (Barack Obama) took office, 2.3 million people were out of work. Five-plus years later, we have 5 million-plus out of work	5
Facebook posts	There is no state in the U.S. where a 40-hour minimum wage work week is enough to afford a two-bedroom apartment	1
Facebook posts	97 percent of the 100 poorest counties in America are in red states	1
Facebook posts	Washington, D.C., now has greater population than Wyoming and Vermont, more active duty military than 29 states, more tax revenue than 29 states (and) a larger domestic product than 27 states	2
Facebook posts	In 1950, corporations paid $3 in taxes for every $1 by a worker. Today, they pay 22 cents for every $1 by a worker	3
Facebook posts	Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation	5
Facebook posts	Last year, handguns killed 48 people in Japan, 8 in Great Britain, 34 in Switzerland, 52 in Canada, 58 in Israel, 21 in Sweden, 42 in West Germany and 10,728 in the United States	2
Facebook posts	Less than 2 percent of illegals are picking crops, but 41 percent are on welfare	3
Facebook posts	In 1978, a student who worked a minimum-wage summer job could afford to pay a year's full tuition at the 4-year public university of their choice	1
Facebook posts	The House of Representatives just voted 300-131 to remove country-of-origin labeling on chicken, pork, and beef sold in the U.S	0
Facebook posts	Switzerland (where the government) issues every household a gun . . . has the lowest gun related crime rate of any civilized country in the world	5
Facebook posts	Since 1988, Congress has raised its own salary 15 times 'to reflect rising costs.' But raised the minimum wage only three times	3
Facebook posts	Over 300K home owner suicides attributed to foreclosures	5
Facebook posts	75 percent of the Obamacare tax falls on the middle class	4
Facebook posts	Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015	2
Facebook posts	USA is #1 in gun violence	2
Facebook posts	794 law enforcement officers have fallen in the line of duty since B.H. Obama took office, with no special recognition from the White House	5
Facebook posts	McDonalds hamburgers are only 15 percent real beef. The other 85 percent is meat filler cleansed with ammonia, which causes stomach and intestinal cancer	5
Facebook posts	Romneycare covers abortion, illegal immigrants and has a public option. Obamacare does not	3
Facebook posts	During Obama's first five years as president, black unemployment increased 42 percent. During Reagan's presidency, black unemployment dropped 20 percent	5
Facebook posts	In 1916, the U.S. government predicted that by the 1940s all paper would come from hemp and that no more trees would need to be cut down	4
Facebook posts	In 1913, it was legal to mail children	3
Facebook posts	For every one job created under the Obama administration, 75 people went on food stamps	4
Facebook posts	Texas ranks: #1 in worker deaths, #1 carbon emissions, #50 in high school graduates, #50 in funding for mental health patients	2
Facebook posts	22 Countries Invaded by the U.S. in 20 Years	4
Facebook posts	Nearly 60% of all occupants of HUD properties in U.S. are illegals	5
Facebook posts	Gun homicide is down 49 percent in the past 12 years	4
Facebook posts	44% of homeless people are employed	2
Facebook posts	For the cost of the Iraq War we couldve ended world hunger for 30 years	2
Facebook posts	Richard Hayne, president and CEO of Urban Outfitters  (is) a supporter of Rick Santorum and donated over $13,000 to him	2
Mitt Romney	We're only inches away from no longer being a free economy	5
Mitt Romney	Under the Obama administrations bailout of General Motors, Ohio dealerships were forced to close	2
Mitt Romney	Two-thirds of our economy is a consumer economy	0
Mitt Romney	We have, right now, Hezbollah, which is working throughout Latin America, in Venezuela, in Mexico, throughout Latin America, which poses a very significant and imminent threat to the United States of America	3
Mitt Romney	Federal law requires that hospitals treat people whether or not they can pay. So someone (who) doesnt have health insurance -- they can go to the hospital and get free care	3
Mitt Romney	In June, jobless ranks were higher in nearly 90 percent of U.S. cities	3
Mitt Romney	Obamacare  means that for up to 20 million Americans, they will lose the insurance they currently have, the insurance that they like and they want to keep	4
Mitt Romney	What president has the worst record on female labor force participation? Barack Obama	3
Mitt Romney	When I was fighting against cap and trade, the speaker was sitting down with Nancy Pelosi on a sofa encouraging it	2
Mitt Romney	I'm prolife. I'm not going to apologize for becoming prolife. Ronald Reagan followed that same course, as did Henry Hyde and George Herbert Walker Bush. And I'm proud to be prolife	2
Mitt Romney	Our income, our GDP per capita, is almost 50 percent higher than (it is for) the average European	1
Mitt Romney	In writing his book, Gov. Perry pointed out that  by any measure Social Security has been a failure	0
Mitt Romney	John McCain is right on that one. The line-item veto is the best tool the president has to rein in excessive spending	2
Mitt Romney	In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare	0
Mitt Romney	I don't think I've ever hired an illegal in my life	3
Mitt Romney	I've never voted for a Democrat when there was a Republican on the ballot	2
Mitt Romney	On Medicare for current retirees, he's cutting $716 billion from the program	2
Mitt Romney	President Obama is shrinking our military	2
Mitt Romney	He (Obama) has done several things well. Most of those things are places where  he changed his view from where he had during the campaign. So, for instance, he's  left our troops in Iraq and they're being more successful there. He boosted our  effort in Afghanistan, which is the right course to take. He did not close  Guantanamo, thank heavens	4
Mitt Romney	Today there are more men and women out of work in America than there are people working in Canada	4
Mitt Romney	More Americans have lost their jobs under Barack Obama than any president in modern history	3
Mitt Romney	Sen. McCain says it was not a mistake to vote against the Bush tax cuts ... but now says the tax cuts need to be made permanent	0
Mitt Romney	No, I did not (have illegal immigrants working at his mansion	3
Mitt Romney	If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent	0
Mitt Romney	I just talked about guns. I told you what my position was, and what I did as governor, the fact that I received the endorsement of the NRA	4
Mitt Romney	Oil production is down 14 percent this year on federal land	2
Mitt Romney	I don't describe your plan as amnesty in my ad. I don't call it amnesty	5
Mitt Romney	The majority of Americans now doubt that our children will have a better future	2
Mitt Romney	Since the passage of Obama's stimulus package, over 1 million additional jobs were lost and nearly 25 million Americans are out of work, are stuck in part-time work, or have given up looking	2
Mitt Romney	The Z-visa that was offered in that Senate bill let everybody who's here illegally, other than criminals, stay here for the rest of their lives	4
Mitt Romney	We're inches away from no longer having a free economy	5
Mitt Romney	Since President Obama took office, there are over 450,000 more unemployed women	2
Mitt Romney	Regulations have quadrupled. The rate of regulations quadrupled under this president	4
Mitt Romney	Mayor Giuliani's lawsuit killed the line-item veto	1
Mitt Romney	(My dad) used to campaign against the gas-guzzling dinosaurs	0
Mitt Romney	The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent	0
Mitt Romney	In the African-American community today, 68 percent of kids born are born out of wedlock	0
Mitt Romney	The median income in this country has declined 10 percent in the last four years	2
Mitt Romney	The Republican governor who stood up and cut spending instead of raising taxes	2
Mitt Romney	In the month of January, Canada created more new jobs than we did	0
Mitt Romney	Took on the Olympics and turned them around	1
Mitt Romney	Pre-existing conditions are covered under my (health care) plan	3
Mitt Romney	(Newt Gingrich) voted in favor of establishing the Department of Education, and yet he gets in a debate and says we should get rid of the Department of Education and send all the education issues back to the states	2
Mitt Romney	Half the kids coming out of college this year  can't find a job, or a job that's consistent with a college degree	0
Mitt Romney	More Hispanics have fallen into poverty under Obama	2
Mitt Romney	had robots that whistled Disney songs. I'm not kidding	2
Mitt Romney	Women in Barack Obama's White House are earning less than men	2
Mitt Romney	Obama's Environmental Protection Agency sent emails for Hispanic Heritage Month with a photo of Che Guevara	2
Mitt Romney	She hasn't run a corner store. She hasn't run a state. She hasn't run a city. She has never run anything	3
Mitt Romney	Obamacare takes $500 billion out of Medicare and funds Obamacare	2
Mitt Romney	Were $15 trillion now in debt, with a president thats racked up as much debt as almost all of the other presidents combined	3
Mitt Romney	Were now spending 42 percent of our economy on government	1
Mitt Romney	President Obama's suggested reduction in spending for next year: $0	1
Mitt Romney	Mayor Giuliani made New York City what's known as a 'sanctuary city,' where illegal aliens were allowed to come. And he instructed the leaders of the city not to enforce the law, not to enforce immigration law	2
Mitt Romney	The president gave the (auto) companies to the UAW	4
Mitt Romney	Fifty percent of kids coming out of school can't get a job	1
Mitt Romney	In campaigns in the past with Sen. McCain and President George W. Bush and others, they have tended to release tax records in April	2
Mitt Romney	I have not changed my position on the (gay) marriage amendment or anything else related to marriage	2
Mitt Romney	6,400 Ohioans ... lost manufacturing jobs in the month of September	1
Mitt Romney	I don't think that Rudy or Fred or John McCain support the marriage amendment	0
Mitt Romney	Obamacare adds trillions to our deficits and to our national debt	4
Mitt Romney	Under the president's plan, he cuts Medicare by $716 billion, takes that money out of the Medicare trust fund and uses it to pay for Obamacare	2
Mitt Romney	Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent	3
Mitt Romney	As president, Barack Obama has never visited Israel	0
Mitt Romney	Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent	0
Mitt Romney	The people in Massachusetts like (the state health care plan) by about a 3-1 margin	0
Mitt Romney	Only one president has ever cut Medicare for seniors in this country . . . Barack Obama	4
Mitt Romney	I don't have lobbyists running my campaign	4
Mitt Romney	Women account for 92.3 percent of the jobs lost under Obama	3
Mitt Romney	I saw my father march with Martin Luther King	3
Mitt Romney	This president went before the United Nations and castigated Israel for building settlements. He said nothing about thousands of rockets being rained in on Israel from the Gaza Strip	4
Mitt Romney	Right now, the (Congressional Budget Office) says up to 20 million people will lose their insurance as Obamacare goes into effect next year	4
Mitt Romney	I was pretty proud of being the only guy on the stage that ever had a job in the private sector	4
Mitt Romney	It doesn't make sense to me to send $1-billion a day out of our country. We can be energy independent and should be	2
Mitt Romney	The president said he was going to create daylight between ourselves and Israel	1
Mitt Romney	McCain opposes repeal of the death tax	1
Mitt Romney	Over the last several years, 40 percent (of) the jobs created in Texas were created for illegal aliens	2
Mitt Romney	President Obama has raised taxes 19 times	2
Mitt Romney	We had a No Child Left Behind  a similar piece of legislation in our state a number of years ago, well before the federal law. And it's had a big impact here. It's improved schools	0
Mitt Romney	A few months into office, (President Barack Obama) traveled around the globe to apologize for America	5
Mitt Romney	The lifespan of the average American is less than that of people in nations that spend far less (on health care). ... To put it bluntly, we spend more and die sooner	0
Mitt Romney	In one year, (President Obama) provided $90 billion in breaks to the green energy world  into solar and wind, to Solyndra and Fisker and Tesla and Ener1	4
Mitt Romney	Seven times Obama could have stopped China's cheating. Seven times, he refused	2
Mitt Romney	(McCain) said he was opposed to overturning Roe v. Wade. Now he's for overturning Roe v. Wade	2
Mitt Romney	I didn't inherit money from my parents	2
Mitt Romney	Under Obama, families have lost over $4,000 a year in income	2
Mitt Romney	We have 25 million Americans out of work	2
Mitt Romney	(McCain) was opposed to ethanol. Now he's for it	1
